datetime,Data,Ora,Precipitazioni (mm),Probabilità di Precipitazione
2025-06-18 00:00:00,18/06/2025,00:00,0.1,53
2025-06-18 01:00:00,18/06/2025,01:00,0.0,45
2025-06-18 02:00:00,18/06/2025,02:00,0.5,38
2025-06-18 03:00:00,18/06/2025,03:00,0.1,43
2025-06-18 04:00:00,18/06/2025,04:00,0.0,25
2025-06-18 05:00:00,18/06/2025,05:00,0.0,5
2025-06-18 06:00:00,18/06/2025,06:00,0.0,10
2025-06-18 07:00:00,18/06/2025,07:00,0.0,0
2025-06-18 08:00:00,18/06/2025,08:00,0.0,3
2025-06-18 09:00:00,18/06/2025,09:00,0.0,0
2025-06-18 10:00:00,18/06/2025,10:00,0.0,0
2025-06-18 11:00:00,18/06/2025,11:00,0.0,3
2025-06-18 12:00:00,18/06/2025,12:00,0.0,3
2025-06-18 13:00:00,18/06/2025,13:00,0.0,5
2025-06-18 14:00:00,18/06/2025,14:00,0.0,8
2025-06-18 15:00:00,18/06/2025,15:00,0.1,5
2025-06-18 16:00:00,18/06/2025,16:00,0.0,5
2025-06-18 17:00:00,18/06/2025,17:00,0.0,8
2025-06-18 18:00:00,18/06/2025,18:00,0.0,3
2025-06-18 19:00:00,18/06/2025,19:00,0.0,0
2025-06-18 20:00:00,18/06/2025,20:00,0.0,0
2025-06-18 21:00:00,18/06/2025,21:00,0.0,0
2025-06-18 22:00:00,18/06/2025,22:00,0.0,0
2025-06-18 23:00:00,18/06/2025,23:00,0.0,0
2025-06-19 00:00:00,19/06/2025,00:00,0.0,0
2025-06-19 01:00:00,19/06/2025,01:00,0.0,0
2025-06-19 02:00:00,19/06/2025,02:00,0.0,0
2025-06-19 03:00:00,19/06/2025,03:00,0.0,0
2025-06-19 04:00:00,19/06/2025,04:00,0.0,0
2025-06-19 05:00:00,19/06/2025,05:00,0.0,0
2025-06-19 06:00:00,19/06/2025,06:00,0.0,0
2025-06-19 07:00:00,19/06/2025,07:00,0.0,0
2025-06-19 08:00:00,19/06/2025,08:00,0.0,0
2025-06-19 09:00:00,19/06/2025,09:00,0.0,0
2025-06-19 10:00:00,19/06/2025,10:00,0.0,0
2025-06-19 11:00:00,19/06/2025,11:00,0.0,0
2025-06-19 12:00:00,19/06/2025,12:00,0.0,0
