datetime,temperature_2m,apparent_temperature
2025-06-18 00:00:00,23.7,26.2
2025-06-18 01:00:00,22.7,25.5
2025-06-18 02:00:00,22.7,24.9
2025-06-18 03:00:00,22.3,23.8
2025-06-18 04:00:00,22.0,22.6
2025-06-18 05:00:00,21.7,22.5
2025-06-18 06:00:00,21.4,22.5
2025-06-18 07:00:00,21.8,22.7
2025-06-18 08:00:00,23.2,23.4
2025-06-18 09:00:00,25.0,25.2
2025-06-18 10:00:00,27.3,27.8
2025-06-18 11:00:00,29.4,30.9
2025-06-18 12:00:00,30.4,32.2
2025-06-18 13:00:00,30.3,32.0
2025-06-18 14:00:00,30.3,32.2
2025-06-18 15:00:00,29.6,31.7
2025-06-18 16:00:00,30.2,31.8
2025-06-18 17:00:00,30.5,31.8
2025-06-18 18:00:00,29.7,30.6
2025-06-18 19:00:00,29.0,30.0
2025-06-18 20:00:00,28.2,29.2
2025-06-18 21:00:00,27.0,28.7
2025-06-18 22:00:00,26.0,28.0
2025-06-18 23:00:00,25.3,27.7
2025-06-19 00:00:00,24.9,27.9
2025-06-19 01:00:00,24.5,27.1
2025-06-19 02:00:00,23.9,26.5
2025-06-19 03:00:00,23.2,25.8
2025-06-19 04:00:00,22.6,25.1
2025-06-19 05:00:00,22.2,24.3
2025-06-19 06:00:00,21.8,23.7
2025-06-19 07:00:00,22.3,23.9
2025-06-19 08:00:00,23.7,24.9
2025-06-19 09:00:00,25.9,26.3
2025-06-19 10:00:00,28.3,28.7
2025-06-19 11:00:00,30.9,32.7
2025-06-19 12:00:00,32.9,35.1
2025-06-19 13:00:00,34.1,36.3
2025-06-19 14:00:00,34.5,35.7
2025-06-19 15:00:00,33.3,33.5
2025-06-19 16:00:00,32.7,32.6
2025-06-19 17:00:00,32.0,31.5
2025-06-19 18:00:00,31.2,30.9
2025-06-19 19:00:00,30.1,30.5
2025-06-19 20:00:00,28.9,30.0
2025-06-19 21:00:00,27.6,29.3
2025-06-19 22:00:00,26.6,28.9
2025-06-19 23:00:00,25.7,28.5
2025-06-20 00:00:00,25.1,28.1
2025-06-20 01:00:00,24.6,28.2
2025-06-20 02:00:00,24.3,27.7
2025-06-20 03:00:00,23.8,26.9
2025-06-20 04:00:00,23.3,25.9
2025-06-20 05:00:00,22.9,25.2
2025-06-20 06:00:00,22.5,24.8
2025-06-20 07:00:00,23.0,25.1
2025-06-20 08:00:00,24.5,26.3
2025-06-20 09:00:00,26.7,28.2
2025-06-20 10:00:00,29.2,30.6
2025-06-20 11:00:00,31.6,34.4
2025-06-20 12:00:00,33.6,37.0
2025-06-20 13:00:00,34.6,37.7
2025-06-20 14:00:00,34.8,35.7
2025-06-20 15:00:00,34.5,35.0
2025-06-20 16:00:00,34.1,34.4
2025-06-20 17:00:00,33.5,33.5
2025-06-20 18:00:00,32.3,32.2
2025-06-20 19:00:00,31.3,31.9
2025-06-20 20:00:00,30.4,31.4
2025-06-20 21:00:00,29.0,30.3
2025-06-20 22:00:00,27.5,29.6
2025-06-20 23:00:00,26.5,29.3
2025-06-21 00:00:00,25.7,29.0
2025-06-21 01:00:00,25.2,29.0
2025-06-21 02:00:00,24.8,28.1
2025-06-21 03:00:00,24.2,27.2
