datetime,Temperatura (°C),Temperatura Percepita (°C),date,Umidità (%),Precipitazioni (mm),Probabilità di Precipitazione,Velocità Vento (km/h),Raffiche di Vento (km/h),Data,Ora,Fascia Oraria,Allerta Meteo
2025-06-18 00:00:00,23.7,26.2,18/06/2025,74,0.1,53,5.2,17.6,18/06/2025,00:00,Notte,Normale
2025-06-18 01:00:00,22.7,25.5,18/06/2025,79,0.0,45,3.1,8.6,18/06/2025,01:00,Notte,Normale
2025-06-18 02:00:00,22.7,24.9,18/06/2025,72,0.5,38,3.0,13.0,18/06/2025,02:00,Notte,Normale
2025-06-18 03:00:00,22.3,23.8,18/06/2025,71,0.1,43,5.6,11.5,18/06/2025,03:00,Notte,Normale
2025-06-18 04:00:00,22.0,22.6,18/06/2025,65,0.0,25,7.1,15.5,18/06/2025,04:00,Notte,Normale
2025-06-18 05:00:00,21.7,22.5,18/06/2025,65,0.0,5,5.4,15.5,18/06/2025,05:00,Notte,Normale
2025-06-18 06:00:00,21.4,22.5,18/06/2025,67,0.0,10,3.8,11.5,18/06/2025,06:00,Mattina,Normale
2025-06-18 07:00:00,21.8,22.7,18/06/2025,65,0.0,0,5.0,11.9,18/06/2025,07:00,Mattina,Normale
2025-06-18 08:00:00,23.2,23.4,18/06/2025,58,0.0,3,8.7,16.9,18/06/2025,08:00,Mattina,Normale
2025-06-18 09:00:00,25.0,25.2,18/06/2025,52,0.0,0,8.7,21.6,18/06/2025,09:00,Mattina,Normale
2025-06-18 10:00:00,27.3,27.8,18/06/2025,45,0.0,0,7.6,20.9,18/06/2025,10:00,Mattina,Normale
2025-06-18 11:00:00,29.4,30.9,18/06/2025,38,0.0,3,4.8,18.4,18/06/2025,11:00,Mattina,Normale
2025-06-18 12:00:00,30.4,32.2,18/06/2025,40,0.0,3,9.2,22.3,18/06/2025,12:00,Pomeriggio,Normale
2025-06-18 13:00:00,30.3,32.0,18/06/2025,41,0.0,5,9.3,26.6,18/06/2025,13:00,Pomeriggio,Normale
2025-06-18 14:00:00,30.3,32.2,18/06/2025,41,0.0,8,12.2,33.8,18/06/2025,14:00,Pomeriggio,Normale
2025-06-18 15:00:00,29.6,31.7,18/06/2025,44,0.1,5,7.2,33.8,18/06/2025,15:00,Pomeriggio,Normale
2025-06-18 16:00:00,30.2,31.8,18/06/2025,42,0.0,5,4.2,18.0,18/06/2025,16:00,Pomeriggio,Normale
2025-06-18 17:00:00,30.5,31.8,18/06/2025,41,0.0,8,5.6,25.2,18/06/2025,17:00,Pomeriggio,Normale
2025-06-18 18:00:00,29.7,30.6,18/06/2025,44,0.0,3,8.2,19.8,18/06/2025,18:00,Sera,Normale
2025-06-18 19:00:00,29.0,30.0,18/06/2025,48,0.0,0,9.7,27.0,18/06/2025,19:00,Sera,Normale
2025-06-18 20:00:00,28.2,29.2,18/06/2025,51,0.0,0,9.8,23.0,18/06/2025,20:00,Sera,Normale
2025-06-18 21:00:00,27.0,28.7,18/06/2025,57,0.0,0,7.6,20.9,18/06/2025,21:00,Sera,Normale
2025-06-18 22:00:00,26.0,28.0,18/06/2025,60,0.0,0,4.7,16.2,18/06/2025,22:00,Sera,Normale
2025-06-18 23:00:00,25.3,27.7,18/06/2025,64,0.0,0,3.1,9.7,18/06/2025,23:00,Sera,Normale
2025-06-19 00:00:00,24.9,27.9,19/06/2025,68,0.0,0,1.1,6.5,19/06/2025,00:00,Notte,Normale
2025-06-19 01:00:00,24.5,27.1,19/06/2025,68,0.0,0,2.6,4.7,19/06/2025,01:00,Notte,Normale
2025-06-19 02:00:00,23.9,26.5,19/06/2025,70,0.0,0,2.9,5.8,19/06/2025,02:00,Notte,Normale
2025-06-19 03:00:00,23.2,25.8,19/06/2025,76,0.0,0,3.9,7.9,19/06/2025,03:00,Notte,Normale
2025-06-19 04:00:00,22.6,25.1,19/06/2025,77,0.0,0,4.5,9.0,19/06/2025,04:00,Notte,Normale
2025-06-19 05:00:00,22.2,24.3,19/06/2025,77,0.0,0,4.9,10.1,19/06/2025,05:00,Notte,Normale
2025-06-19 06:00:00,21.8,23.7,19/06/2025,76,0.0,0,4.8,10.1,19/06/2025,06:00,Mattina,Normale
2025-06-19 07:00:00,22.3,23.9,19/06/2025,71,0.0,0,5.2,10.4,19/06/2025,07:00,Mattina,Normale
2025-06-19 08:00:00,23.7,24.9,19/06/2025,63,0.0,0,7.0,15.1,19/06/2025,08:00,Mattina,Normale
2025-06-19 09:00:00,25.9,26.3,19/06/2025,50,0.0,0,7.8,18.0,19/06/2025,09:00,Mattina,Normale
2025-06-19 10:00:00,28.3,28.7,19/06/2025,41,0.0,0,6.7,18.7,19/06/2025,10:00,Mattina,Normale
