datetime,Data,Ora,Velocità Vento (km/h),Raffiche di Vento (km/h)
2025-06-18 00:00:00,18/06/2025,00:00,5.2,17.6
2025-06-18 01:00:00,18/06/2025,01:00,3.1,8.6
2025-06-18 02:00:00,18/06/2025,02:00,3.0,13.0
2025-06-18 03:00:00,18/06/2025,03:00,5.6,11.5
2025-06-18 04:00:00,18/06/2025,04:00,7.1,15.5
2025-06-18 05:00:00,18/06/2025,05:00,5.4,15.5
2025-06-18 06:00:00,18/06/2025,06:00,3.8,11.5
2025-06-18 07:00:00,18/06/2025,07:00,5.0,11.9
2025-06-18 08:00:00,18/06/2025,08:00,8.7,16.9
2025-06-18 09:00:00,18/06/2025,09:00,8.7,21.6
2025-06-18 10:00:00,18/06/2025,10:00,7.6,20.9
2025-06-18 11:00:00,18/06/2025,11:00,4.8,18.4
2025-06-18 12:00:00,18/06/2025,12:00,9.2,22.3
2025-06-18 13:00:00,18/06/2025,13:00,9.3,26.6
2025-06-18 14:00:00,18/06/2025,14:00,12.2,33.8
2025-06-18 15:00:00,18/06/2025,15:00,7.2,33.8
2025-06-18 16:00:00,18/06/2025,16:00,4.2,18.0
2025-06-18 17:00:00,18/06/2025,17:00,5.6,25.2
2025-06-18 18:00:00,18/06/2025,18:00,8.2,19.8
2025-06-18 19:00:00,18/06/2025,19:00,9.7,27.0
2025-06-18 20:00:00,18/06/2025,20:00,9.8,23.0
2025-06-18 21:00:00,18/06/2025,21:00,7.6,20.9
2025-06-18 22:00:00,18/06/2025,22:00,4.7,16.2
2025-06-18 23:00:00,18/06/2025,23:00,3.1,9.7
2025-06-19 00:00:00,19/06/2025,00:00,1.1,6.5
2025-06-19 01:00:00,19/06/2025,01:00,2.6,4.7
2025-06-19 02:00:00,19/06/2025,02:00,2.9,5.8
2025-06-19 03:00:00,19/06/2025,03:00,3.9,7.9
2025-06-19 04:00:00,19/06/2025,04:00,4.5,9.0
2025-06-19 05:00:00,19/06/2025,05:00,4.9,10.1
2025-06-19 06:00:00,19/06/2025,06:00,4.8,10.1
2025-06-19 07:00:00,19/06/2025,07:00,5.2,10.4
2025-06-19 08:00:00,19/06/2025,08:00,7.0,15.1
2025-06-19 09:00:00,19/06/2025,09:00,7.8,18.0
2025-06-19 10:00:00,19/06/2025,10:00,6.7,18.7
2025-06-19 11:00:00,19/06/2025,11:00,2.7,15.8
2025-06-19 12:00:00,19/06/2025,12:00,3.2,10.4
2025-06-19 13:00:00,19/06/2025,13:00,5.2,14.0
2025-06-19 14:00:00,19/06/2025,14:00,13.4,29.2
2025-06-19 15:00:00,19/06/2025,15:00,15.8,38.5
2025-06-19 16:00:00,19/06/2025,16:00,15.5,35.6
2025-06-19 17:00:00,19/06/2025,17:00,14.7,35.3
2025-06-19 18:00:00,19/06/2025,18:00,12.9,32.8
2025-06-19 19:00:00,19/06/2025,19:00,10.8,28.1
2025-06-19 20:00:00,19/06/2025,20:00,8.9,23.4
2025-06-19 21:00:00,19/06/2025,21:00,7.5,19.1
2025-06-19 22:00:00,19/06/2025,22:00,5.1,15.5
2025-06-19 23:00:00,19/06/2025,23:00,3.3,11.2
2025-06-20 00:00:00,20/06/2025,00:00,2.5,7.2
2025-06-20 01:00:00,20/06/2025,01:00,0.5,5.0
2025-06-20 02:00:00,20/06/2025,02:00,1.5,2.9
2025-06-20 03:00:00,20/06/2025,03:00,2.3,4.3
2025-06-20 04:00:00,20/06/2025,04:00,3.3,7.6
2025-06-20 05:00:00,20/06/2025,05:00,3.6,7.9
2025-06-20 06:00:00,20/06/2025,06:00,3.8,7.9
2025-06-20 07:00:00,20/06/2025,07:00,4.2,8.6
2025-06-20 08:00:00,20/06/2025,08:00,5.5,12.6
2025-06-20 09:00:00,20/06/2025,09:00,7.6,16.9
2025-06-20 10:00:00,20/06/2025,10:00,7.5,19.1
2025-06-20 11:00:00,20/06/2025,11:00,3.9,17.6
2025-06-20 12:00:00,20/06/2025,12:00,2.5,11.9
2025-06-20 13:00:00,20/06/2025,13:00,8.4,19.1
2025-06-20 14:00:00,20/06/2025,14:00,16.5,36.7
2025-06-20 15:00:00,20/06/2025,15:00,16.4,35.6
2025-06-20 16:00:00,20/06/2025,16:00,15.8,36.7
2025-06-20 17:00:00,20/06/2025,17:00,15.7,34.9
2025-06-20 18:00:00,20/06/2025,18:00,14.5,34.6
2025-06-20 19:00:00,20/06/2025,19:00,10.7,31.7
2025-06-20 20:00:00,20/06/2025,20:00,7.3,23.8
